address;name;type;postcode;phone;email;educational;topics;languages;lat;lon
Hildegardstr. 16;Elterninitiativ-Kindertagesstätten-Verein Arche Noah e.V.;Eltern-Initiativ-Kindertagesstätte;10715;030853 17 86;info@kinderladen-archenoah.de;Situationsansatz;;;52.4819413;13.3216638
Koblenzer Str. 7;Die Lauser e.V.;Eltern-Initiativ-Kindertagesstätte;10715;0308543415;;;;;52.48014999999999;13.32128
Am Volkspark 41;Katholische Kirchengemeinde Maria unter dem Kreuz;Kindertagesstätte;10715;0308533592;Kita@maria-unter-dem-kreuz.de;;;;52.4827279;13.3281437
Durlacher Str. 27;Girasole e.V.;Eltern-Initiativ-Kindertagesstätte;10715;0308548466;eikitagirasole_ev@web.de;bilingual (deutsch-italienisch);;;52.48055;13.331
Livländische Str. 21;Kindertagesstätten Nordwest Eigenbetrieb von Berlin;Kindertagesstätte;10715;03085728743;livlaendischestr@kita-nordwest.de;;;;52.4806657;13.3264159
Weimarische Str. 20;Montessori und Friends Education gGmbH;Kindertagesstätte;10715;030853 66 55;Kinderhaus.kipsi@montessori-friends.de;Montessori-Pädagogik;;;52.47966;13.32465
Koblenzer Str. 21;Kindergarten Schlumpfenland e.V.;Kindertagesstätte;10715;03081852603;kira.franke@kita-schlumpfenland.de;Situationsansatz;;;52.48034;13.32203
Babelsberger Str. 43;Kinder - Land in Sicht e. V.;Eltern-Initiativ-Kindertagesstätte;10715;0308731846;landinsicht@gmx.de;Ansatz von Emmi Pikler, Körper und Bewegung, Situationsansatz;;;52.4853666;13.3352312
Sigmaringer Str. 16;Mittelhof e.V.;Kindertagesstätte;10713;030861 27 67;eulenspiegel@mittelhof.org;Situationsansatz;;;52.4910483;13.3192903
Kaubstr. 2;Nachbarschaftsheim Schöneberg e.V.;Kindertagesstätte;10713;03086 20 79 01;kita-kaub@nbhs.de;Situationsansatz, Sonstiges;Gesundheit, Körper und Bewegung, Natur- und Umweltpädagogik;;52.48834;13.31102
Aachener Str. 45;AUFGEPASST e.V.;Kindertagesstätte;10713;03089739680;info@aufgepasst.de;Ansatz von Emmi Pikler;;deutsch - englisch;52.4824925;13.3186176
Blissestr. 45;AUFGEPASST e.V.;Kindertagesstätte;10713;03081487133;info@aufgepasst.de;bilingual (deutsch-englisch);;;52.4809434;13.3206126
Blissestr. 60;kids in berlin kib gUG (haftungsbeschränkt);Kindertagesstätte;10713;017654291506;platypusinfo@yahoo.de;Montessori-Pädagogik, Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik, Theaterpädagogik;deutsch - französisch;52.4798822;13.3199042
Brandenburgische Str. 75;M a i k ä f e r   e. V.;Eltern-Initiativ-Kindertagesstätte;10713;030862 30 49;vorstand@kinderladen-maikaefer.de;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Körper und Bewegung;;52.4880533;13.3174385
Gieselerstr. 25;EKT Manimatschi e.V.;Eltern-Initiativ-Kindertagesstätte;10713;0308621611;ekt-manimatschi@web.de;Ansatz von Emmi Pikler, Montessori-Pädagogik;;;52.4897208;13.3179019
Brienner Str. 16;Edusation - gemeinnützige Gesellschaft für Integration und Sprachförderung mbH;Kindertagesstätte;10713;030;;;;;52.4893604;13.3130686
Brandenburgische Str. 84 /85;Kinderladen Kleine Küken gGmbH;Kindertagesstätte;10713;03024613947;Gabrielewagner13@gmail.com;;;;52.4870206;13.3192162
Aachener Str. 42;Kleine Panther e. V.;Eltern-Initiativ-Kindertagesstätte;10713;0308222769;kleine_panther@email.de;Ästhetische Bildung (Musik und Kunst), Natur-und Umweltpädagogik;;;52.4819719;13.318678
Sigmaringer Str. 16 EG rechts;Dreckspatzen e.V.;Eltern-Initiativ-Kindertagesstätte;10713;0308619636;postmaster@kila-dreckspatzen.de;Situationsansatz;Natur- und Umweltpädagogik;;52.4868693;13.3137346
Mansfelder Str. 37;Waldorf-Kindergarten Mansfelder Straße e.V.;Kindertagesstätte;10713;030861 44 40;wkigm@t-online.de;Waldorfpädagogik;;;52.4868693;13.3137346
Ringbahnstr. 13;Wir um Vier - Verein z. Förderg psychol. orientierter Pädag. u. Elternberatg e.V.;Eltern-Initiativ-Kindertagesstätte;10711;891 39 98;;;;;52.4981452;13.2890359
Nestorstr. 7;Gemeinnütziger KindergartenMI NIDO-Mein Nest gGmbH;Kindertagesstätte;10711;03085606520;bless@minido.eu;bilingual (deutsch-spanisch);;;52.4990238;13.2916403
Westfälische Str. 57;kids in berlin kib gUG (haftungsbeschränkt);Kindertagesstätte;10711;03088 62 37 68;kookaburrainfo@aol.com;Situationsansatz;Körper und Bewegung;;52.4961902;13.2947202
Nestorstr. 20;Verein zur Förderung der Kindertagesstätte loiseau bleu e.V.;Kindertagesstätte;10711;03076232335;info@oiseau-bleu.de;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Interkulturelle Pädagogik, Körper und Bewegung;deutsch - französisch;52.4990238;13.2916403
Seesener Str. 44 - 46;Kultur Mosaik Berlin gUG(haftungsbeschränkt);Kindertagesstätte;10711;030209665750;;;;deutsch - russisch;52.49440999999999;13.29367
Katharinenstr. 19 20;Papillon Kindertagesstätten gGmbH;Kindertagesstätte;10711;0303648227;info@kita-papillon.de;;;deutsch - französisch;52.4997254;13.2924622
Westfälische Str. 17;Nachbarschaftsheim Schöneberg e.V.;Kindertagesstätte;10711;030860 08 10 30;kita-westfaelische@nbhs.de;;Integration von Kindern mit Behinderung;deutsch - polnisch;52.4990238;13.2916403
Eisenzahnstr. 62;Kinderladen Kleine Küken gGmbH;Kindertagesstätte;10709;01577 3160935;gabrielewagner13@gmail.com;Waldorfpädagogik;;;52.4980668;13.3053021
Johann-Georg-Str. 10;kids in berlin kib gUG (haftungsbeschränkt);Kindertagesstätte;10709;0302637 3619;wallabyinfo@aol.com;Situationsansatz;Gesundheit;;52.497165;13.2976993
Johann-Georg-Str. 9;kids in berlin kib gUG (haftungsbeschränkt);Kindertagesstätte;10709;03023 27 09 64;kangarooinfo@yahoo.de;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik, Theaterpädagogik;deutsch - englisch, deutsch - französisch;52.4969601;13.2979386
Ravensberger Str. 5B;Internationaler KindergartenBerlin 1984 gemeinnützige GmbH;Kindertagesstätte;10709;0308926644;internkita@gmail.com;Sonstiges;Interkulturelle Pädagogik;deutsch - englisch;52.49632;13.30639
Münstersche Str. 8;Leben mit Kindern gGmbH;Kindertagesstätte;10709;030863909911;daniel@lemiki.de;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Körper und Bewegung, Natur- und Umweltpädagogik, Religionspädagogik;;52.49429;13.30819
Münstersche Str. 6;Jüdischer Kindergarten Gan Israel e.V.;Kindertagesstätte;10709;03021280832;kontakt@chabadberlin.de;;;;52.4939537;13.3076296
Johann-Georg-Str. 26;Beerenkinder Kindertagesstättengemeinnützige UG (haftungsbeschränkt);Kindertagesstätte;10709;03089569229;beerenkinder@gmail.com;;;;52.49572999999999;13.29858
Schweidnitzer Str. 3;Waldorfkindergarten TOMTE e.V.;Eltern-Initiativ-Kindertagesstätte;10709;030892 81 20;info@waldorfkindergarten.tomt.de;Waldorfpädagogik;;;52.4948607;13.297702
Johann-Georg-Str. 8;Kath. Kirchengemeinde St. Ludwig;Kindertagesstätte;10709;0308906 9400;kita_albertusmagnus@sanktludwig.de;Körper und Bewegung;;;52.49686;13.29811
Cicerostr. 63;ABC Kindergarten gUG (haftungsbeschränkt);Kindertagesstätte;10709;0308913331;abc-kindergarten@gmx.de;Situationsansatz;;;52.49792000000001;13.302
Zähringerstr. 14;el caracol bilingualer Kindergarten Spanisch / Deutsch gGmbH;Kindertagesstätte;10707;0308731502;kontakt@el-caracol.de;;Theaterpädagogik;deutsch - spanisch;52.49599509999999;13.3119551
Schlüterstr. 25;Kindertagesstätten Nordwest Eigenbetrieb von Berlin;Kindertagesstätte;10707;030319988930;schlueterstr@kita-nordwest.de;;;;52.5003407;13.316655
Leibnizstr. 79;Ev. Kirchengemeinde Trinitatis;Kindertagesstätte;10707;030318685-16;trinitatiskita@web.de;;;;52.50060149999999;13.3129583
Wielandstr. 13;el caracol bilingualer Kindergarten Spanisch / Deutsch gGmbH;Kindertagesstätte;10707;0308731502;kontakt@el-caracol.de;bilingual (deutsch-spanisch);Theaterpädagogik;deutsch - spanisch;52.4950243;13.3147792
Wielandstr. 40;Kindergarten Schlumpfenland e.V.;Eltern-Initiativ-Kindertagesstätte;10707;22190274;kira.franke@kita-schlumpfenland.de;Situationsansatz;;;52.5002574;13.3149401
Roscherstr. 14;Droysen - Mäuse e. V.;Eltern-Initiativ-Kindertagesstätte;10629;0303231613;info@droysen-maeuse.de;;;;52.50119;13.30247
Gervinusstr. 17;kids in berlin kib gUG (haftungsbeschränkt);Kindertagesstätte;10629;0304470 1001;cockatooinfo@aol.com;Situationsansatz;Interkulturelle Pädagogik, Körper und Bewegung, Theaterpädagogik;deutsch - englisch;52.50287970000001;13.2999001
Dahlmannstr. 9;Sahne-Teufel e. V.;Kindertagesstätte;10629;03050562237;sahne-teufel2009@arcor.de;Montessori-Pädagogik, Situationsansatz;;;52.50140039999999;13.3038976
Walter-Benjamin-Platz 7;Kindertagesstätten Nordwest Eigenbetrieb von Berlin;Kindertagesstätte;10629;030310078690;walter-benjamin-platz@kita-nordwest.de;;Integration von Kindern mit Behinderung, Körper und Bewegung, Natur- und Umweltpädagogik;;52.5018414;13.3143404
Bismarckstr. 25;Familie im Zentrum FiZ gGmbH;Kindertagesstätte;10627;03063962985;info@zauberfloeten-berlin.de;Sonstiges;Körper und Bewegung;;52.5073952;13.3015288
Kaiser-Friedrich-Str. 60;Yoyo e.V.;Eltern-Initiativ-Kindertagesstätte;10627;030324 70 52;kinderladen.yoyo.vorstand@gmail.com;;Interkulturelle Pädagogik;deutsch - französisch;52.5073154;13.3023095
Fritschestr. 58;Kindertagesstätte Pumuckel e.V.;Kindertagesstätte;10627;324 72 66;;;;;52.50944149999999;13.3000822
Pestalozzistr. 40;Pestalozzi-Fröbel-HausStiftung des öffentlichen Rechts;Kindertagesstätte;10627;030324 08 79;pestalozzi@pfh-berlin.de;;;;52.5080489;13.3034066
Schillerstr. 84;Wusel e. V.;Eltern-Initiativ-Kindertagesstätte;10627;312 86 70;ektwusel@versanet.de;;;;52.510078;13.3071589
Pestalozzistr. 88;Came-Bridge gemeinnützige UG(haftungsbeschränkt);Kindertagesstätte;10627;;info@camebridge.de;;;;52.5073952;13.3015288
Kaiser-Friedrich-Str. 100;Kirschkern e.V.;Kindertagesstätte;10627;03044036272;info@kaengoo.de;Montessori-Pädagogik;Interkulturelle Pädagogik;;52.5085686;13.302105
Fritschestr. 58;Kindertagesstätte Pumuckel e.V.;Kindertagesstätte;10627;324 72 66;;;;;52.50944149999999;13.3000822
Schillerstr. 61;Pestalozzi-Fröbel-HausStiftung des öffentlichen Rechts;Kindertagesstätte;10627;030324 80 02;sommerfeld@pfh-berlin.de;;;;52.5096026;13.2993227
Schillerstr. 64;KULTURKÜKEN e.V.;Eltern-Initiativ-Kindertagesstätte;10627;323 25 85;;;;;52.5097895;13.3007372
Kaiser-Friedrich-Str. 18;Die wilden 25 e. V.;Eltern-Initiativ-Kindertagesstätte;10627;03033848712;diewilden25@gmx.de;Situationsansatz, Sonstiges;Ästhetische Bildung (Musik und Kunst), Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik;;52.5085686;13.302105
Schillerstr. 21;Kinderladen Purzelbaum e.V.;Eltern-Initiativ-Kindertagesstätte;10627;0303121122;vorstand@kila-purzelbaum.de;;;;52.5073952;13.3015288
Kaiser-Friedrich-Str. 13;OUTLAW gemeinnützige Gesellschaft für Kinder- und Jugendhilfe mbH;Eltern-Initiativ-Kindertagesstätte;10627;03034359898;kita-kaiserfriedrichstr@outlaw-ggmbh.de;Situationsansatz;Ästhetische Bildung (Musik und Kunst);;52.5086085;13.3022631
Stuttgarter Platz 20;Firlefanz e.V.;Eltern-Initiativ-Kindertagesstätte;10627;324 65 21;;;;;52.50518;13.29927
Pestalozzistr. 6;Nachbarschaftsheim Schöneberg e.V.;Kindertagesstätte;10627;03031 10 26 93;kita-pestalozzi@nbhs.de;Situationsansatz;;;52.5073952;13.3015288
Goethestr. 12;Kindertagesstätten Nordwest Eigenbetrieb von Berlin;Kindertagesstätte;10625;030319988940;goethestr@kita-nordwest.de;;Integration von Kindern mit Behinderung, Körper und Bewegung, Natur- und Umweltpädagogik;;52.5087124;13.3137619
Goethestr. 13;Kinderladen Goethestraße e.V.;Eltern-Initiativ-Kindertagesstätte;10625;312 33 09;senat@kinderladen-goethestrasse.de;;;;52.5087124;13.3137619
Marie-Elisabeth-Lüders-Str. 8;Wunderinsel gGmbH;Kindertagesstätte;10625;030;;;;;52.51332;13.31762
Goethestr. 13;Kinderladen Goethestraße e.V.;Eltern-Initiativ-Kindertagesstätte;10625;312 33 09;senat@kinderladen-goethestrasse.de;;;;52.5087124;13.3137619
Wegelystr. 10 - 12;Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord;Kindertagesstätte;10623;03064491154;st.ursula-kita@evkvbmn.de;;;;52.5070391;13.3283954
Mindener Str. 11;Cheburashka gGmbH;Kindertagesstätte;10589;03076231387;charlottenburg@kitacheburashka.de;Situationsansatz;Integration von Kindern mit Behinderung;deutsch - russisch;52.5252446;13.2988103
Olbersstr. 40;Pestalozzi-Fröbel-HausStiftung des öffentlichen Rechts;Kindertagesstätte;10589;030344 94 13;olbers@pfh-berlin.de;;;;52.5288043;13.3027787
Mierendorffstr. 7;Center Lingual gemeinnützige UG(haftungsbeschränkt);Kindertagesstätte;10589;030;;;;;52.52533;13.30334
Kamminer Str. 9;MiniKitas First gGmbH;Kindertagesstätte;10589;03052284838;info@minikitasfirst.de;;;;52.5257982;13.3003345
Olbersstr. 15;Ev. Kirchengemeinde Gustav-Adolf;Kindertagesstätte;10589;030344 20 68;kita-gustav-adolf@gmx.de;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Körper und Bewegung, Religionspädagogik;;52.52994;13.29888
Goslarer Platz 6;bewegte Kinder e.V.;Kindertagesstätte;10589;03032513991;bewegtekinder@gmail.com;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Körper und Bewegung;;52.52434;13.31372
Brahestr. 13;Regenbogen-Kidz e.V.;Eltern-Initiativ-Kindertagesstätte;10589;03034093605;regenbogen.kidz@googlemail.com;Situationsansatz;Religionspädagogik;;52.5280959;13.2996009
Kaiserin-Augusta-Allee 41;Gesellschaft für internationale Kultur- und Bildungsarbeit e. V.;Eltern-Initiativ-Kindertagesstätte;10589;03034504564;kindergarten@kinderland-charlottenburg.de;Sonstiges;Interkulturelle Pädagogik, Körper und Bewegung;;52.52611;13.31016
Mierendorffstr. 21;CIP City-Initiative f. Eltern- und Kinder-Projekte e.V.;Eltern-Initiativ-Kindertagesstätte;10589;03054469766;contact@cip-berlin.de;;Körper und Bewegung;;52.52402530000001;13.3018842
Kaiserin-Augusta-Allee 101;Liberi Bildung gemeinnützige UG (haftungsbeschränkt);Kindertagesstätte;10589;03049085470;liberibildung@gmail.com;Sonstiges;Interkulturelle Pädagogik, Natur- und Umweltpädagogik;deutsch - türkisch;52.5298769;13.3067427
Mierendorffplatz 14;Remmi Demmi gemeinnützige GmbH;Kindertagesstätte;10589;03049803789;info@kita-remmi-demmi.de;Reggio-Pädagogik;;;52.52546;13.30515
Nordhauser Str. 30;Kultur Mosaik Berlin gUG(haftungsbeschränkt);Kindertagesstätte;10589;030209665750;info@multilingua-berlin.de;Ästhetische Bildung (Musik und Kunst), Interkulturelle Pädagogik;Interkulturelle Pädagogik;deutsch - englisch, deutsch - russisch;52.5246132;13.3089965
Nordhauser Str. 22;Kindertagesstätten Nordwest Eigenbetrieb von Berlin;Kindertagesstätte;10589;030367023390;nordhauserstr@kita-nordwest.de;;Körper und Bewegung;;52.52444;13.30478
Galvanistr. 14;EKT Galvanistr. 14 e.V.;Eltern-Initiativ-Kindertagesstätte;10587;0303425111;info@ekt-galvanistrasse.de;Sonstiges;;;52.5188871;13.316313
Helmholtzstr. 34 - 36;Villa Luna gemeinnützige GmbH;Kindertagesstätte;10587;03039480700;berlin@villaluna.de;;;;52.52150779999999;13.3234027
Marchstr. 8;Studentenwerk Berlin;Kindertagesstätte;10587;03093939-8450;kitatu@studentenwerk-berlin.de;;;;52.5145232;13.325359
Alt-Lietzow 7;EiKiTa Pünktchen e. V.;Eltern-Initiativ-Kindertagesstätte;10587;030342 10 17;kinderladen-puenktchen@gmx.de;Situationsansatz;Körper und Bewegung, Natur- und Umweltpädagogik;;52.51853;13.30759
Alt-Lietzow 31;Kath. Kirchengemeinde Herz Jesu Charlottenburg;Kindertagesstätte;10587;03033006802;kita_tauscher@herz-jesu-charlottenburg.de;Situationsansatz;;;52.5187;13.311
Warburgzeile 8;Kindertagesstätten Nordwest Eigenbetrieb von Berlin;Kindertagesstätte;10587;030343571690;warburgzeile@kita-nordwest.de;;Gesundheit, Integration von Kindern mit Behinderung, Körper und Bewegung;;52.5172598;13.3113704
Fraunhoferstr. 26;Kindertagesstätte   M a i k ä f e r   e.V.;Eltern-Initiativ-Kindertagesstätte;10587;030348 25 12;Vorstand@kita-maikaefer.de;Montessori-Pädagogik;Ästhetische Bildung (Musik und Kunst), Integration von Kindern mit Behinderung, Körper und Bewegung;;52.5155462;13.3182951
Brauhofstr. 2A;EKT - PEZZETTINO e.V.;Eltern-Initiativ-Kindertagesstätte;10587;0178 1026687;info@pezzettino.de;Situationsansatz;;;52.51952;13.3054
Lohmeyerstr. 21;Kindergarten am Schloß Charlottenburg e.V.;Eltern-Initiativ-Kindertagesstätte;10587;342 70 60;thomas.hoppe@kiga-am-schloss.de;;;;52.52006000000001;13.30155
Lohmeyerstr. 12;Kindergarten am Schloß Charlottenburg e.V.;Eltern-Initiativ-Kindertagesstätte;10587;0303427060;thomas.hoppe@kiga-am-schloss.de;;;;52.52003999999999;13.30217
Eosanderstr. 13;Kindergarten am Schloß Charlottenburg e.V.;Eltern-Initiativ-Kindertagesstätte;10587;0303427060;thomas.hoppe@kiga-am-schloss.de;;;;52.52057;13.30166
Galvanistr. 15;Frecher Spatz e.V.;Kindertagesstätte;10587;0303429718;;Situationsansatz;;;52.5185959;13.3158182
Eosanderstr. 24;Kindergarten am Schloß Charlottenburg e.V.;Eltern-Initiativ-Kindertagesstätte;10587;0303427060;Thomas.hoppe@kiga-am-schloss.de;;;;52.5203623;13.3016794
Haubachstr. 45;Pestalozzi-Fröbel-HausStiftung des öffentlichen Rechts;Kindertagesstätte;10585;030342 98 72;haubach@pfh-berlin.de;;;;52.51512;13.29949
Gierkezeile 42;Kita Karamell e. V.;Eltern-Initiativ-Kindertagesstätte;10585;030342 50 46;Mamo14@freenet.de;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Körper und Bewegung, Natur- und Umweltpädagogik;;52.517858;13.3025701
Haubachstr. 24;Kinderladen Schlumpfenburg gUG (haftungsbeschränkt);Kindertagesstätte;10585;03091467428;kinderladen-schlumpfenburg@web.de;Situationsansatz;;;52.51568;13.30328
Richard-Wagner-Str. 20;Kindertagesstätten Nordwest Eigenbetrieb von Berlin;Kindertagesstätte;10585;030367023680;richard-wagner-str@kita-nordwest.de;;Interkulturelle Pädagogik, Körper und Bewegung;;52.5140471;13.307287
Gierkezeile 30;El Carrusel e.V.;Eltern-Initiativ-Kindertagesstätte;10585;030657 99 680;info@elcarrusel.de;bilingual (spanisch);;deutsch - spanisch;52.51576;13.303
Gierkeplatz 2;Ev. Kirchengemeinde Luisen;Kindertagesstätte;10585;030341 84 50;;;;;52.51674;13.3028
Gierkezeile 42;Sonnenkinder e. V.;Eltern-Initiativ-Kindertagesstätte;10585;341 28 60;sonnenkinder42@gmx.de;;;;52.517858;13.3025701
Havelberger Str. 21;Kindergärten City;Kindertagesstätte;10559;03039494392;Kita.Havelberger21@ba-fk.berlin.de;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik;;52.532779;13.3471766
Lübecker Str. 13;VSU-Verein für Sozial- und Umweltpolitik Berlin e.V.;Eltern-Initiativ-Kindertagesstätte;10559;0303948183;tigerpanther@freenet.de;Reggio-Pädagogik;;;52.5285243;13.3453698
Birkenstr. 60;Ev. Kirchengemeinde Heilige-Geist;Kindertagesstätte;10559;0303961079;kitabirkelinchen@freenet.de;;;;52.53081;13.34611
Stephanstr. 53;GenerationenRaum gemeinnützige Gesellschaftzur Förderung generationsübergreifender Interaktion mbH;Kindertagesstätte;10559;03026598704;kontakt@spielraumstephanshafen.de;;;;52.5340666;13.3491454
Perleberger Str. 47;GenerationenRaum gemeinnützige Gesellschaftzur Förderung generationsübergreifender Interaktion mbH;Kindertagesstätte;10559;03039881662;info@spielraumperlentaucher.de;Sonstiges;Gesundheit;deutsch - englisch;52.531005;13.3475987
Alt-Moabit 117;Kindergärten City;Kindertagesstätte;10559;03039805060;Kita.Altmoabit117@ba-fk.berlin.de;Sonstiges;Ästhetische Bildung (Musik und Kunst), Körper und Bewegung, Natur- und Umweltpädagogik;;52.52373;13.35425
Alt-Moabit 25;Ev. Kirchengemeinde St. Johannis;Kindertagesstätte;10559;03039889094;kita-st.johannis@ev-gemeinde-tiergarten.de;Situationsansatz;;;52.52473999999999;13.35012
Havelberger Str. 12;GenerationenRaum gemeinnützige Gesellschaftzur Förderung generationsübergreifender Interaktion mbH;Kindertagesstätte;10559;03039405500;info@spielraumhavelsegler.de;Sonstiges;;deutsch - englisch;52.533427;13.3472805
Turmstr. 71;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Kindertagesstätte;10559;030397 41 995;schmetterling@awo-mitte.de;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung;;52.526222;13.348893
Alt-Moabit 133B;Verein für praktische Pädagogik Moabit e.V.;Kindertagesstätte;10559;392 44 65;;;;;52.5319081;13.3483383
Quitzowstr. 125;Sagaland e.V.;Eltern-Initiativ-Kindertagesstätte;10559;395 30 52;;Ästhetische Bildung (Musik und Kunst), Situationsansatz;;;52.5356748;13.3548549
Wilsnacker Str. 62;Kinderladen Badehaus e.V.;Eltern-Initiativ-Kindertagesstätte;10559;030394 60 69;info@kinderladen-badehaus.de;Situationsansatz;Natur- und Umweltpädagogik;;52.5272806;13.3513218
Birkenstr. 33;Der Kick - Initiative im Kiez e.V.;Eltern-Initiativ-Kindertagesstätte;10559;0303954982;;Integration von Kindern mit Behinderung, Situationsansatz;;;52.5319081;13.3483383
Alt-Moabit 35;Arlecchino gUG (haftungsbeschränkt);Kindertagesstätte;10559;03036751325;annarizzi53@yahoo.it;bilingual (deutsch-italienisch), Reggio-Pädagogik;Interkulturelle Pädagogik;deutsch - italienisch;52.5319081;13.3483383
Quitzowstr. 136;Stoppelhopser e.V.;Eltern-Initiativ-Kindertagesstätte;10559;030395 75 78;weidler@zentralrad.de;Integration von Kindern mit Behinderung, Situationsansatz;;;52.53531049999999;13.3515117
Rathenower Str. 15;Kindergärten City;Kindertagesstätte;10559;03074780168;Kita.Rathenowerstr15@ba-fk.berlin.de;Situationsansatz;Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik;;52.5247234;13.3571345
Wilsnacker Str. 14;Perle e.V.;Eltern-Initiativ-Kindertagesstätte;10559;0303945859;kinderladenperle@yahoo.de;Montessori-Pädagogik;;;52.5277111;13.351492
Alt-Moabit 86;Stiftung Pro Gemeinsinn gGmbH;Kindertagesstätte;10559;03039840277;hermann@pro-gemeinsinn.de;;;;52.5319081;13.3483383
Bandelstr. 41;Kath. Kirchengemeinde St. Laurentius;Kindertagesstätte;10559;03039783815;kontakt@kita-laurentius.de;Religionspädagogik;;;52.5271817;13.3498142
Wilsnacker Str. 40;Cheburashka gGmbH;Eltern-Initiativ-Kindertagesstätte;10559;03039886617;tiergarten@kitacheburashka.de;Situationsansatz;Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung;deutsch - russisch;52.531417;13.3499273
Alt-Moabit 98;Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.;Kindertagesstätte;10559;03044724001;anspreebogen@awo-mitte.de;;;;52.5247201;13.3464529
Alt-Moabit 37;Arlecchino gUG (haftungsbeschränkt);Kindertagesstätte;10559;03039839557;annarizzi53@yahoo.it;Montessori-Pädagogik;Interkulturelle Pädagogik;deutsch - italienisch;52.5319081;13.3483383
Stromstr. 58;EKT Drunter und Drüber Stromstraße 58 e.V.;Eltern-Initiativ-Kindertagesstätte;10559;0303951860;drunter.und.drueber@gmx.de;Montessori-Pädagogik;;;52.5319081;13.3483383
Lübecker Str. 32;Türkischer Elternverein in Berlin und Brandenburg e.V.;Eltern-Initiativ-Kindertagesstätte;10559;0303965210;kleinerfrosch@tevbb.de;Situationsansatz;;;52.53026;13.34458
Stephanstr. 17;Verein zur Förderung und Integration polnischer Kinder in der Berliner Gesellschaft e.V.;Eltern-Initiativ-Kindertagesstätte;10559;030396 78 15;ektmaluch@hotmail.de;Montessori-Pädagogik;Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik;deutsch - polnisch;52.53434;13.34942
Holsteiner Ufer 12;Kindergärten City;Kindertagesstätte;10557;03036409506;Kita.HolsteinerUfer@ba-fk.berlin.de;Sonstiges;Ästhetische Bildung (Musik und Kunst), Gesundheit, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik;;52.52200999999999;13.34347
Lehrter Str. 40;Kindergärten City;Kindertagesstätte;10557;03039703022;Kita.Lehrterstr40@ba-fk.berlin.de;Situationsansatz;Körper und Bewegung;;52.53498;13.35879
Klopstockstr. 29;Kinder in Bewegung gGmbHGemeinnützige Kindergarten-Trägergesellschaft des Berliner Sports;Kindertagesstätte;10557;0303640 9507;mail@kita-hansa-spatzen.de;Bewegung/Sport;;;52.51747;13.34027
Otto-von-Bismarck-Allee 2;Deutscher Bundestag;Kindertagesstätte;10557;030227-33395;;;;;52.520913;13.3710255
Flemingstr. 11;Frecher Spatz e.V.;Eltern-Initiativ-Kindertagesstätte;10557;0303921261;kinderladen-schneckenhaus@frecherspatz.de;Montessori-Pädagogik;;;52.52053;13.35689
Heidestr. 3;Dussmann Kulturkindergarten gemeinnützige GmbH;Kindertagesstätte;10557;030;kulturkindergarten-50hertz@dussmann.de;;;deutsch - englisch;52.5278934;13.370193
Klopstockstr. 1;Kinderstube in Berlin gGmbH;Kindertagesstätte;10557;03039746254;info@kinderstube-berlin.de;Waldorfpädagogik;;;52.5161305;13.3395645
Invalidenstr. 130;EBS-Europäische Bildungsstiftung gGmbH;Kindertagesstätte;10557;030688332340;mail@cosmopolitanschool.de;Ansatz von Emmi Pikler, Montessori-Pädagogik, Reggio-Pädagogik, Situationsansatz, Sonstiges;Ästhetische Bildung (Musik und Kunst), Gesundheit, Integration von Kindern mit Behinderung, Interkulturelle Pädagogik, Körper und Bewegung, Natur- und Umweltpädagogik, Theaterpädagogik;deutsch - englisch;52.5262025;13.3681369
